Área;2 isolados/total;t2;3 isolados/total;t3;4 isolados/total;t4;5 isolados/total;t5;6 isolados/total;t6;
administracao;0;0m0.651s;0;0m0.597s;N/A;0m0.720s;N/A;0m0.581s;N/A;0m0.731s;
agronomia;0;0m3.233s;0;0m3.100s;N/A;0m3.125s;N/A;0m3.155s;N/A;0m3.301s;
antropologia;6.89;0m0.599s;1.53;0m0.936s;.29;0m2.009s;.04;0m6.947s;0;0m26.454s;
arqueologia;16.66;0m0.222s;0;0m0.195s;0;0m0.186s;N/A;0m0.211s;N/A;0m0.189s;
arquitetura e urbanismo;66.91;0m0.374s;53.52;0m0.441s;42.05;0m0.668s;32.35;0m0.903s;24.26;0m1.291s;
artes;69.89;0m0.434s;57.84;0m0.792s;47.51;0m2.172s;38.71;0m8.408s;31.26;0m35.529s;
astronomia;0;0m0.307s;0;0m0.317s;N/A;0m0.347s;N/A;0m0.359s;N/A;0m0.362s;
biofisica;4.76;0m0.333s;0;0m0.340s;0;0m0.333s;0;0m0.364s;0;0m0.338s;
biologia geral;N/A;0m0.131s;N/A;0m0.452s;N/A;0m0.136s;N/A;0m0.118s;N/A;0m0.146s;
biomedicina;16.66;0m0.188s;0;0m0.201s;0;0m0.198s;N/A;0m0.185s;N/A;0m0.183s;
bioquimica;N/A;0m0.733s;N/A;0m0.684s;N/A;0m0.700s;N/A;0m0.719s;N/A;0m0.731s;
biotecnologia;0;0m0.396s;0;0m0.409s;0;0m0.435s;0;0m0.465s;0;0m0.404s;
botanica;16.66;0m0.570s;0;0m0.603s;0;0m0.585s;N/A;0m0.581s;N/A;0m0.603s;
ciencia da computacao;14.28;0m1.236s;2.85;0m1.176s;0;0m1.216s;0;0m1.243s;0;0m1.236s;
ciencia da informacao;0;0m0.251s;0;0m0.237s;0;0m0.228s;N/A;0m0.260s;N/A;0m0.243s;
ciencia e tecnologia de alimentos;0;0m0.521s;N/A;0m0.479s;N/A;0m0.507s;N/A;0m0.542s;N/A;0m0.536s;
ciencia politica;24.07;0m0.479s;11.11;0m0.819s;4.88;0m1.697s;2.03;0m5.610s;.79;0m20.580s;
ciencias ambientais;40.00;0m0.376s;20.00;0m0.394s;6.66;0m0.382s;0;0m0.414s;0;0m0.366s;
comunicacao;16.48;0m0.536s;5.49;0m0.530s;1.49;0m0.581s;.29;0m0.740s;.03;0m0.841s;
demografia;50.00;0m0.278s;25.00;0m0.232s;0;0m0.240s;N/A;0m0.196s;N/A;0m0.260s;
desenho industrial;N/A;0m0.229s;N/A;0m0.234s;N/A;0m0.187s;N/A;0m0.241s;N/A;0m0.237s;
direito;0;0m0.366s;N/A;0m0.308s;N/A;0m0.317s;N/A;0m0.274s;N/A;0m0.322s;
divulgacao cientifica;100.00;0m0.178s;0;0m0.167s;N/A;0m0.193s;N/A;0m0.173s;N/A;0m0.163s;
ecologia;0;0m0.591s;0;0m0.559s;0;0m0.611s;N/A;0m0.567s;N/A;0m0.656s;
economia;11.90;0m2.302s;3.66;0m0.968s;1.02;0m1.969s;.25;0m7.971s;.05;0m23.476s;
