Área;Label;Candidatos;Total;Elegíveis;Isolados; k = 2; k = 3; k = 4; k = 5; k = 6;
antropologia;A1;68;29;8;406;3654;23751;118755;475020;
arquitetura e urbanismo;A2;37;17;14;136;680;2380;6188;12376;
artes;A3;49;31;26;465;4495;31465;169911;736281;
ciencia politica;A4;53;28;14;378;3276;20475;98280;376740;
comunicacao;A5;51;14;6;91;364;1001;2002;3003;
economia;A6;78;28;10;378;3276;20475;98280;376740;
educacao;A7;182;51;13;1275;20825;249900;2349060;18009460;
engenharia biomedica;A8;40;18;7;153;816;3060;8568;18564;
filosofia;A9;77;49;35;1176;18424;211876;1906884;13983816;
geografia;A10;44;30;14;435;4060;27405;142506;593775;
historia;A11;102;44;22;946;13244;135751;1086008;7059052;
linguistica;A12;96;23;7;253;1771;8855;33649;100947;
matematica;A13;141;40;10;780;9880;91390;658008;3838380;
planejamento urbano e regional;A14;37;24;14;276;2024;10626;42504;134596;
